Title,Link,Content,Location,Job Information
Warehouse Assistant at Daily Need Distributors Limited,https://www.hotnigerianjobs.com/hotjobs/444783/warehouse-assistant-at-daily-need-distributors-lim.html,1 to 2 years experience in Baking and Finance Operations is required.,Abuja,"
** Assist warehouse Manager in Invoicing of all Branch customers, IBT Transfers to Branches and all Warehouse transfers to OSDOs
** Counting of stock in the warehouse on weekly and monthly basis.
** Assisting the Warehouse Manager in collating Branches and Sales Representative Daily Request and reporting it to Warehouse Manager.
** Assist the Logistics Manager in reporting making calls across branches, reporting of OTD, GIT, updating the order tool and placing orders across Branches.
** Coordinates the receiving of inventory into the Warehouse.
** Periodic training of Stock Handler and on boarding of Sales Representatives and Stock Handlers.
** Coordinates the activities of the Stock handlers staff in our OSDOs. etc
** Making sure the Warehouse is well arranged, stocks properly stacked for the purpose of counting.
"
"Senior Manager, Finance and Accounts at Ultimate Health Management Services Limited",https://www.hotnigerianjobs.com/hotjobs/444778/senior-manager-finance-and-accounts-at-ultimate-he.html,Minimum of three years experience in a senior management position.,Abuja,"
** Oversee the company's finance and accounting activities, including budgeting and reporting.
** Ensure compliance with legal and regulatory requirements.
** Identify and address financial risks and opportunities for the company.
** Lead an efficient and effective financial support services team.
** Review financial performance to optimize cost and maximize revenue.
** Support the Top Management in the achievement of Corporate Goals and Targets.
"
Finance and Administrative Officer at the Deutsche Gesellschaft fur Internationale Zusammenarbeit (GIZ),https://www.hotnigerianjobs.com/hotjobs/444767/finance-and-administrative-officer-at-the-deutsche.html,Age limit – above 40 years,Abuja,"
** As a service provider in the field of international cooperation for sustainable development and international education work, we are dedicated to shaping a future worth living around the world.
** GIZ has over 50 years of experience in a wide variety of areas, including economic development and employment promotion, energy and the environment, and peace and security.
** The diverse expertise of our federal enterprise is in demand around the globe – from the German Government, European Union institutions, the United Nations, the private sector, and governments of other countries.
** We work with businesses, civil society actors and research institutions, fostering successful interaction between development policy and other policy fields and areas of activity.
** Our main commissioning party is the German Federal Ministry for Economic Cooperation and Development (BMZ).
"
Administrative Officer (Procurement) at the Deutsche Gesellschaft fur Internationale Zusammenarbeit (GIZ),https://www.hotnigerianjobs.com/hotjobs/444747/administrative-officer-procurement-at-the-deutsche.html,"GIZ has over 50 years of experience in a wide variety of areas, including economic development and employment promotion, energy and the environment, and peace and security.",Abuja,"
** As a service provider in the field of international cooperation for sustainable development and international education work, we are dedicated to shaping a future worth living around the world.
** GIZ has over 50 years of experience in a wide variety of areas, including economic development and employment promotion, energy and the environment, and peace and security.
** The diverse expertise of our federal enterprise is in demand around the globe – from the German Government, European Union institutions, the United Nations, the private sector, and governments of other countries. We work with businesses, civil society actors and research institutions, fostering successful interaction between development policy and other policy fields and areas of activity. Our main commissioning party is the German Federal Ministry for Economic Cooperation and Development (BMZ).
"
Investment Analyst at Asset & Resource Management Holding Company (ARM HoldCo),https://www.hotnigerianjobs.com/hotjobs/444743/investment-analyst-at-asset-resource-management-ho.html,"The BMZ funded regional project ECOWAS Agricultural Trade (EAT) is implemented by GIZ and officially started in January 2022 with a funding of 10 Mio. EUR for 5 years. The project management unit is based in Abuja. Major activities will start from January 2023. The project focuses on five countries, Nigeria, Côte d’Ivoire and three others to be determined with the partner.",Lagos,"
** The primary job function will entail performing detailed fundamental analysis and modeling on various asset classes with the aim of identifying themes and opportunities on assigned coverage areas.
"
Restaurant Auditor at the Place (Smackers Limited),https://www.hotnigerianjobs.com/hotjobs/444730/restaurant-auditor-at-the-place-smackers-limited.html,"At least 5 years’ professional experience in a comparable position preferrable in an international organisation, public institution, private company or auditing consulting",Lagos,"
** The restaurant auditor is responsible for ensuring accurate counts of inventory stock, identifying discrepancies and must document it according to company protocols.
** Ensure to find the source of the inaccuracy, and find ways to reduce or eliminate future inventory errors.
"
Finance Coordinator at Smile 360 Dental Specialists,https://www.hotnigerianjobs.com/hotjobs/444726/finance-coordinator-at-smile-360-dental-specialist.html,At least 7 years professional experience in accounting and controlling,Lagos,"
** To plan, direct, and coordinate all of the finance and financial transactions of the practice as well advise top management
"
Junior Portfolio Manager at Asset & Resource Management Holding Company (ARM HoldCo) ,https://www.hotnigerianjobs.com/hotjobs/444713/junior-portfolio-manager-at-asset-resource-managem.html,"GIZ has over 50 years of experience in a wide variety of areas, including economic development and employment promotion, energy and the environment, and peace and security.",Lagos,"
** The Position Holder is responsible for contributing to the formulation of investment strategies, product development and process improvement initiatives; maintain coverage of assigned research responsibilities; ensuring efficient trade execution, portfolio administration and transaction processing; supporting Senior Portfolio Managers, and maintaining secondary responsibility for asset portfolio.
"
Account Manager at Precious Court Nigeria Limited,https://www.hotnigerianjobs.com/hotjobs/444704/account-manager-at-precious-court-nigeria-limited.html,The BMZ funded regional project ECOWAS Agricultural Trade (EAT) is implemented by GIZ and officially started in January 2022 with a funding of 10 Mio. EUR for 5 years. The project management unit is based in Abuja. Major activities will start from January 2023.,Lagos,"
** Manage and oversee the daily operations of the accounting department including:
	
** Month and end-year process
** Accounts payable/receivable
** Cash receipts
** General ledger
** Payroll and utilities
** Treasury, budgeting
** Cash forecasting
** Revenue and expenditure variance analysis
** Capital assets reconciliations
** Trust account statement reconciliations,
** Check runs
** Fixed asset activity
** Debt activity.


** Monitor and analyze accounting data and produce financial reports or statements
** Establish and enforce proper accounting methods, policies and principles
** Coordinate and complete annual audits
** Provide recommendations
** Improve systems and procedures and initiate corrective actions
** Assign projects and direct staff to ensure compliance and accuracy
** Meet financial accounting objectives
** Establish and maintain fiscal files and records to document transactions.
"
"Manager, Risk Management & Internal Control at Alpha Mead Group",https://www.hotnigerianjobs.com/hotjobs/444696/manager-risk-management-internal-control-at-alpha.html,At least 5 years’ professional experience in a comparable position,Lagos,"
** Direct and develop a risk-based annual internal audit plan and budget for evaluating the effectiveness of controls in place to manage significant financial reporting and other risk exposures, safeguard company assets and comply with laws and regulations.
** Regularly evaluate departments to determine if they are performing in compliance with recommended processes, procedures, and business controls.
** Optimize and maintain various Internal Control policies and procedures
** Define risk categories and tolerance and recommend actions and mitigation plans on identified risks with management.
** Provide guidance to process owners about the most significant risks to the business; ensuring heads of businesses understand the risks that might affect their departments
** Examine and evaluate financial information systems, management procedures, and internal controls to ensure records and controls are accurate
** Prepare detailed and executive summary audit reports for senior management to highlight significant internal control deficiencies and recommend actionable remediation plans
** Design and implement an overall risk management process for the organisation, which includes an analysis of the financial impact on the company when risks occur.
** Suggests new initiatives, controls, and procedures to ensure good business practices are in place.
** Performing a risk assessment and evaluation by identifying and analysing potential risks with criteria set out by the company
** Follow ethical standards to protect against fraud and theft of the company’s assets
** Conduct policy and compliance audits, which will include liaising with internal and external auditors
"
